CLASS=UNKNOWN	1064491 0100530 0315214	-
CLASS=UNKNOWN	0884248 0100530 0315214	-
CLASS=UNKNOWN	0884248 0100530 0315214	0945985 0610683 0055573 0100530 0315214 0754212 0161381 0267839 0003137 0986215 0006789 0754212 0880931 0444946 0061182 0006789
CLASS=UNKNOWN	0884248 0100530 0315214	0388397 1040693 0650232 0591028 0608557 0291357 0100530 0315214 0006789 0729004 0729004 0729004 0655567 0173636 0291357 0324721 0161381 0580929
CLASS=UNKNOWN	0884248 0100530 0315214	0460925 0355664 0445272 1111901 0455809 0346881 0348043 0926863 0388397 0158124 0346881 0959592 0568179 0291357 0912424 0100530 0315214 0706287 0884248 0729004 0580929
CLASS=UNKNOWN	0884248 0100530 0315214	0836676 0501052 0557667 0428761 0968872 0589457 0490159 0943770 1040693 0100530 0315214 0495323 0315214 0727209 0399721 0580929
CLASS=UNKNOWN	0884248 0100530 0315214	0690587 1018962 1129496 0212657 0778661 0884248 1040473 0100530 0315214 0793729
CLASS=VIDEO	0884248	-
CLASS=VIDEO	0884248	-

CLASS=UNKNOWN	0826280	-
CLASS=TEST	0261336	-
CLASS=TEST	0261336	-
CLASS=TEST	0261336	0104962 0803854 0717308 0038174 0737714 0095986 0196280 0149117 0784491 0104962 0803854 0717308 0038174 0784491 0104962 0803854 0717308 0038174 0664000 0694263 0784491 0441517 1087046 0061741 1000290

CLASS=TEST	0381742 0616057 0041297 0458228	-
CLASS=TEST	0381742 0616057 0041297 0458228	0381742 0616057 0424883 0123481 0772486 0381742 0616057 0424883 0772486 0825705 0381742 0616057 0814520 0656218 0406197 0381742 0616057 0612465 0300930 0312543 0694263 0271874
CLASS=TEST	0381742 0616057 0041297 0458228	1126758 0573765 0381742 0616057 0406197 0381742 0616057 0041297 0458228 0406197 0381742 0616057 1097727 0041297 0458228 0406197 0772486 0825705 0381742 0616057 0041297 0458228
CLASS=UNKNOWN	0381877 0878247 0381742 0616057 0041297 0458228	-
CLASS=UNKNOWN	1126758 0573765 0381742 0616057 0041297 0458228	-
CLASS=UNKNOWN	1126758 0573765 0381742 0616057 0041297 0458228	1126758 0573765 0381742 0616057 0406197 0381742 0616057 0041297 0458228 0406197 0381742 0616057 1097727 0041297 0458228 0406197 0772486 0825705 0381742 0616057 0041297 0458228

CLASS=UNKNOWN	0001440 0705926 0974387 0918499	-
CLASS=TEST	0001440 0705926 0974387 0918499 0855657 0090179 0926863	-
CLASS=TEST	0001440 0705926 0974387 0918499 0855657 0090179 0926863	-
CLASS=TEST	0001440 0705926 0974387 0918499 0855657 0090179 0926863	-
CLASS=TEST	0001440 0705926 0974387 0918499 0855657 0090179 0926863	-
CLASS=TEST	0001440 0705926 0974387 0918499 0855657 0090179 0926863	-

CLASS=TEST	0064592 0727209 0162820 0042895	-
CLASS=TEST	0064592 0727209 0162820 0042895	0727209 0162820 0042895 0847158 0727209 0162820 0042895 0406197 0727209 0162820 0042895 0855657 0748782 0406197 0011134 0329263 0727209 0162820 0042895 0855657 0748782 0784491 0376185

CLASS=UNKNOWN	0055656 0754615 0085828 0828628	-
